Club,League,Country,Website,Press Email,Media Email,General Email,All Emails,Status,Notes,Scraped At
"Arsenal","Premier League","England","https://www.arsenal.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:35:44.502Z"
"Aston Villa","Premier League","England","https://www.avfc.co.uk","","media@avfc.co.uk","","customer.services@shop.avfc.co.uk; u003Ecustomer.services@shop.avfc.co.uk; supporters@avfc.co.uk; u003Esupporters@avfc.co.uk; fancomplaints@avfc.co.uk; u003Efancomplaints@avfc.co.uk; media@avfc.co.uk; u003Emedia@avfc.co.uk; foundation@avfc.co.uk; u003Efoundation@avfc.co.uk; safeguarding@avfc.co.uk; u003Esafeguarding@avfc.co.uk","success","","2025-10-01T08:36:17.955Z"
"Bournemouth","Premier League","England","https://www.afcb.co.uk","","media@afcb.co.uk","","media@afcb.co.uk","success","","2025-10-01T08:36:20.454Z"
"Brentford","Premier League","England","https://www.brentfordfc.com","","media@brentfordfc.com","u0022enquiries@brentfordfc.com","d20dceafd8c3453e8fd1e2967fa78e32@o450172.ingest.sentry.io; tickets@brentfordfc.com; u003Etickets@brentfordfc.com; accessibility@brentfordfc.com; u003Eaccessibility@brentfordfc.com; premiumseating@brentfordfc.com; u003Epremiumseating@brentfordfc.com; stadiumhire@brentfordfc.com; u003Estadiumhire@brentfordfc.com; shop@brentfordfc.com; u003Eshop@brentfordfc.com; partnerships@brentfordfc.com; u003Epartnerships@brentfordfc.com; accounts@brentfordfc.com; u003Eaccounts@brentfordfc.com; operations@brentfordfc.com; u003Eoperations@brentfordfc.com; media@brentfordfc.com; u003Emedia@brentfordfc.com; BuzzBoxSupport@streamamg.com; u003EBuzzBoxSupport@streamamg.com; u0022enquiries@brentfordfc.com; u003Eenquiries@brentfordfc.com; u0022accessibility@brentfordfc.com; international@brentfordfc.com; u003Einternational@brentfordfc.com; u0022report@brentfordfc.com; u003Ereport@brentfordfc.com; safeguarding@brentfordfc.com; u003Esafeguarding@brentfordfc.com","success","","2025-10-01T08:36:20.748Z"
"Brighton","Premier League","England","https://www.brightonandhovealbion.com","","","","supporter.services@brightonandhovealbion.com; rewards@brightonandhovealbion.com; mail.order@brightonandhovealbion.com; 1901@brightonandhovealbion.com; commercial@brightonandhovealbion.com","partial","","2025-10-01T08:36:23.838Z"
"Chelsea","Premier League","England","https://www.chelseafc.com","","","","clubchelsea@chelseafc.com","partial","","2025-10-01T08:36:25.106Z"
"Crystal Palace","Premier League","England","https://www.cpfc.co.uk","","media@cpfc.co.uk","","shop@cpfc.co.uk; memberships@cpfc.co.uk; boxoffice@cpfc.co.uk; palacetvsupport@streamamg.com; dlo@cpfc.co.uk; customer.service@cpfc.co.uk; media@cpfc.co.uk","success","","2025-10-01T08:36:25.302Z"
"Everton","Premier League","England","https://www.evertonfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:36:27.751Z"
"Fulham","Premier League","England","https://www.fulhamfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:36:57.808Z"
"Ipswich Town","Premier League","England","https://www.itfc.co.uk","press@itfc.co.uk","","","mainticketoffice@itfc.co.uk; hospitality@itfc.co.uk; events@itfc.co.uk; commercial@itfc.co.uk; partnerships@itfc.co.uk; supporter.services@itfc.co.uk; SLO@itfc.co.uk; elizabeth.edwards@itfc.co.uk; lee.smith@itfc.co.uk; lauren.fellingham@itfcfoundation.co.uk; planetblue@itfc.co.uk; community@itfc.co.uk; reception@itfc.co.uk; press@itfc.co.uk; marcus.nash@itfc.co.uk; itfcdigitalsupport@itfc.co.uk","success","","2025-10-01T08:37:27.704Z"
"Leicester City","Premier League","England","https://www.lcfc.com","","","","lcfchelp@lcfc.co.uk","partial","","2025-10-01T08:37:30.110Z"
"Liverpool","Premier League","England","https://www.liverpoolfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:37:30.562Z"
"Manchester City","Premier League","England","https://www.mancity.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:38:10.164Z"
"Manchester United","Premier League","England","https://www.manutd.com","","","","ov0dk4m6dedaob7oqse4nrda4s@group.calendar.google.com; 3203991ff225517fd418aebeeb233c87a9373113ac03b2ded2d6ed27efdedc5b@group.calendar.google.com; c86f80438c6d7e1b28437654ab6b6db8e6106d42def4e74a7d155ac91fe5dc90@group.calendar.google.com; c31eb029283fce581db947cc1da15d665cb15cbda5894dfc52b16388f237d51f@group.calendar.google.com","partial","","2025-10-01T08:38:42.729Z"
"Newcastle United","Premier League","England","https://www.nufc.co.uk","","","","supporter.services@nufc.co.uk","partial","","2025-10-01T08:38:48.632Z"
"Nottingham Forest","Premier League","England","https://www.nottinghamforest.co.uk","","","","","failed","No emails found on standard contact pages","2025-10-01T08:38:49.155Z"
"Southampton","Premier League","England","https://www.southamptonfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:39:19.316Z"
