Club,Website,Press Email,Media Email,General Email,All Emails,Status,Notes,Scraped At
"Arsenal","https://www.arsenal.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:24:53.276Z"
"Aston Villa","https://www.avfc.co.uk","","media@avfc.co.uk","","customer.services@shop.avfc.co.uk; u003Ecustomer.services@shop.avfc.co.uk; supporters@avfc.co.uk; u003Esupporters@avfc.co.uk; fancomplaints@avfc.co.uk; u003Efancomplaints@avfc.co.uk; media@avfc.co.uk; u003Emedia@avfc.co.uk; foundation@avfc.co.uk; u003Efoundation@avfc.co.uk; safeguarding@avfc.co.uk; u003Esafeguarding@avfc.co.uk","success","","2025-10-01T08:25:13.868Z"
"Bournemouth","https://www.afcb.co.uk","","media@afcb.co.uk","","media@afcb.co.uk","success","","2025-10-01T08:25:33.171Z"
"Brentford","https://www.brentfordfc.com","","media@brentfordfc.com","u0022enquiries@brentfordfc.com","d20dceafd8c3453e8fd1e2967fa78e32@o450172.ingest.sentry.io; tickets@brentfordfc.com; u003Etickets@brentfordfc.com; accessibility@brentfordfc.com; u003Eaccessibility@brentfordfc.com; premiumseating@brentfordfc.com; u003Epremiumseating@brentfordfc.com; stadiumhire@brentfordfc.com; u003Estadiumhire@brentfordfc.com; shop@brentfordfc.com; u003Eshop@brentfordfc.com; partnerships@brentfordfc.com; u003Epartnerships@brentfordfc.com; accounts@brentfordfc.com; u003Eaccounts@brentfordfc.com; operations@brentfordfc.com; u003Eoperations@brentfordfc.com; media@brentfordfc.com; u003Emedia@brentfordfc.com; BuzzBoxSupport@streamamg.com; u003EBuzzBoxSupport@streamamg.com; u0022enquiries@brentfordfc.com; u003Eenquiries@brentfordfc.com; u0022accessibility@brentfordfc.com; international@brentfordfc.com; u003Einternational@brentfordfc.com; u0022report@brentfordfc.com; u003Ereport@brentfordfc.com; safeguarding@brentfordfc.com; u003Esafeguarding@brentfordfc.com","success","","2025-10-01T08:25:52.851Z"
"Brighton","https://www.brightonandhovealbion.com","","","","supporter.services@brightonandhovealbion.com; rewards@brightonandhovealbion.com; mail.order@brightonandhovealbion.com; 1901@brightonandhovealbion.com; commercial@brightonandhovealbion.com","partial","","2025-10-01T08:26:14.105Z"
"Chelsea","https://www.chelseafc.com","","","","clubchelsea@chelseafc.com","partial","","2025-10-01T08:26:39.458Z"
"Crystal Palace","https://www.cpfc.co.uk","","media@cpfc.co.uk","","shop@cpfc.co.uk; memberships@cpfc.co.uk; boxoffice@cpfc.co.uk; palacetvsupport@streamamg.com; dlo@cpfc.co.uk; customer.service@cpfc.co.uk; media@cpfc.co.uk","success","","2025-10-01T08:27:00.954Z"
"Everton","https://www.evertonfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:27:20.448Z"
"Fulham","https://www.fulhamfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:27:39.654Z"
"Ipswich Town","https://www.itfc.co.uk","press@itfc.co.uk","","","mainticketoffice@itfc.co.uk; hospitality@itfc.co.uk; events@itfc.co.uk; commercial@itfc.co.uk; partnerships@itfc.co.uk; supporter.services@itfc.co.uk; SLO@itfc.co.uk; elizabeth.edwards@itfc.co.uk; lee.smith@itfc.co.uk; lauren.fellingham@itfcfoundation.co.uk; planetblue@itfc.co.uk; community@itfc.co.uk; reception@itfc.co.uk; press@itfc.co.uk; marcus.nash@itfc.co.uk; itfcdigitalsupport@itfc.co.uk","success","","2025-10-01T08:27:59.361Z"
"Leicester City","https://www.lcfc.com","","","","lcfchelp@lcfc.co.uk","partial","","2025-10-01T08:28:18.642Z"
"Liverpool","https://www.liverpoolfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:28:39.762Z"
"Manchester City","https://www.mancity.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:29:07.346Z"
"Manchester United","https://www.manutd.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:29:30.193Z"
"Newcastle United","https://www.nufc.co.uk","","","","supporter.services@nufc.co.uk","partial","","2025-10-01T08:29:55.392Z"
"Nottingham Forest","https://www.nottinghamforest.co.uk","","","","","failed","No emails found on standard contact pages","2025-10-01T08:30:20.179Z"
"Southampton","https://www.southamptonfc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:30:39.854Z"
"Tottenham Hotspur","https://www.tottenhamhotspur.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:31:00.632Z"
"West Ham United","https://www.whufc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:31:26.881Z"
"Wolverhampton","https://www.wolves.co.uk","","","","","failed","No emails found on standard contact pages","2025-10-01T08:31:48.821Z"
